#FamilyID	pvalue	Significant at 0.05
OG0000000	0	y
OG0000001	0	y
OG0000003	0	y
OG0000004	0	y
OG0000005	0	y
OG0000006	0	y
OG0000007	0	y
OG0000011	0	y
OG0000012	0	y
OG0000013	0	y
OG0000014	0	y
OG0000015	0	y
OG0000017	0	y
OG0000019	0	y
OG0000020	0	y
OG0000022	0	y
OG0000025	0	y
OG0000027	0	y
OG0000029	0	y
OG0000031	0	y
OG0000034	0	y
OG0000035	0	y
OG0000036	0.041	y
OG0000038	0	y
OG0000039	0	y
OG0000043	0	y
OG0000045	0	y
OG0000048	0	y
OG0000049	0	y
OG0000051	0.004	y
OG0000053	0	y
OG0000057	0	y
OG0000058	0	y
OG0000063	0	y
OG0000064	0	y
OG0000065	0.051	n
OG0000066	0	y
OG0000068	0	y
OG0000069	0	y
OG0000071	0	y
OG0000072	0	y
OG0000073	0.005	y
OG0000075	0	y
OG0000076	0.019	y
OG0000077	0	y
OG0000081	0	y
OG0000082	0	y
OG0000085	0.001	y
OG0000086	0	y
OG0000087	0	y
OG0000089	0	y
OG0000093	0	y
OG0000097	0	y
OG0000098	0	y
OG0000099	0	y
OG0000102	0.344	n
OG0000108	0	y
OG0000109	0	y
OG0000114	0.001	y
OG0000117	0.001	y
OG0000120	0	y
OG0000121	0	y
OG0000128	0	y
OG0000130	0	y
OG0000131	0	y
OG0000133	0	y
OG0000136	0	y
OG0000138	0	y
OG0000139	0	y
OG0000143	0	y
OG0000146	0	y
OG0000151	0.01	y
OG0000153	0	y
OG0000156	0.015	y
OG0000157	0.803	n
OG0000164	0.035	y
OG0000165	0.238	n
OG0000170	0	y
OG0000172	0	y
OG0000173	0.032	y
OG0000175	0.095	n
OG0000176	0.025	y
OG0000178	0	y
OG0000179	0	y
OG0000180	0	y
OG0000181	0	y
OG0000184	0.103	n
OG0000185	0.001	y
OG0000187	0	y
OG0000188	0	y
OG0000189	0.006	y
OG0000190	0	y
OG0000191	0.004	y
OG0000198	0.806	n
OG0000201	0	y
OG0000202	0.275	n
OG0000203	0.153	n
OG0000204	0	y
OG0000205	0.114	n
OG0000207	0.01	y
OG0000208	0	y
OG0000215	0.639	n
OG0000221	0	y
OG0000231	0	y
OG0000232	0	y
OG0000236	0	y
OG0000248	0.004	y
OG0000251	0	y
OG0000252	0	y
OG0000255	0.411	n
OG0000257	0.098	n
OG0000259	0.027	y
OG0000267	0	y
OG0000269	0	y
OG0000271	0.058	n
OG0000275	0	y
OG0000279	0	y
OG0000281	0.751	n
OG0000282	0	y
OG0000284	0.028	y
OG0000285	0	y
OG0000286	0.007	y
OG0000287	0	y
OG0000290	0	y
OG0000291	0	y
OG0000292	0	y
OG0000297	0.086	n
OG0000301	0	y
OG0000304	0	y
OG0000306	0.048	y
OG0000308	0.05	n
OG0000311	0	y
OG0000312	0.063	n
OG0000313	0	y
OG0000314	0	y
OG0000316	0.475	n
OG0000317	0.475	n
OG0000318	0.002	y
OG0000319	0	y
OG0000320	0	y
OG0000321	0.004	y
OG0000323	0	y
OG0000324	0	y
OG0000326	0.005	y
OG0000328	0	y
OG0000333	0	y
OG0000337	0	y
OG0000338	0.004	y
OG0000339	0.004	y
OG0000348	0	y
OG0000349	0.004	y
OG0000350	0.009	y
OG0000352	0.588	n
OG0000353	0.004	y
OG0000356	0.192	n
OG0000358	0	y
OG0000362	0	y
OG0000363	0.588	n
OG0000367	0	y
OG0000369	0.211	n
OG0000371	0.012	y
OG0000373	0	y
OG0000382	0.319	n
OG0000383	0.408	n
OG0000385	0.246	n
OG0000391	0	y
OG0000402	0.049	y
OG0000403	0	y
OG0000406	0	y
OG0000408	0	y
OG0000409	0.149	n
OG0000410	0.004	y
OG0000412	0.048	y
OG0000414	0.007	y
OG0000415	0	y
OG0000416	0	y
OG0000417	0.009	y
OG0000418	0	y
OG0000421	0	y
OG0000424	0.093	n
OG0000426	0.413	n
OG0000427	0.093	n
OG0000428	0.265	n
OG0000429	0.029	y
OG0000436	0	y
OG0000439	0.063	n
OG0000445	0.004	y
OG0000449	0.165	n
OG0000451	0.172	n
OG0000452	0.001	y
OG0000453	0	y
OG0000455	0	y
OG0000457	0	y
OG0000458	0.202	n
OG0000460	0.004	y
OG0000461	0	y
OG0000464	0	y
OG0000465	0.07	n
OG0000470	0	y
OG0000471	0.001	y
OG0000472	0	y
OG0000473	0.136	n
OG0000474	0.043	y
OG0000475	0.004	y
OG0000478	0.002	y
OG0000480	0	y
OG0000481	0	y
OG0000485	0	y
OG0000493	0.052	n
OG0000501	0.275	n
OG0000502	0	y
OG0000503	0.822	n
OG0000506	0.682	n
OG0000509	0	y
OG0000511	0.668	n
OG0000512	0	y
OG0000514	0.004	y
OG0000519	0	y
OG0000523	0.002	y
OG0000524	0	y
OG0000526	0	y
OG0000527	0.001	y
OG0000532	0.001	y
OG0000533	0.024	y
OG0000536	0.001	y
OG0000537	0.029	y
OG0000541	0.001	y
OG0000542	0.004	y
OG0000544	0	y
OG0000547	0.001	y
OG0000548	0.007	y
OG0000549	0.063	n
OG0000550	0.053	n
OG0000551	0.196	n
OG0000552	0.004	y
